goos: linux
goarch: amd64
pkg: github.com/kellabyte/go-benchmarks/hashing
BenchmarkFNV1/128-40                 	10000000	       222 ns/op	 574.65 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/256-40                 	 5000000	       371 ns/op	 688.21 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/512-40                 	 2000000	       722 ns/op	 708.90 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/1024-40                	 1000000	      1404 ns/op	 728.99 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/4096-40                	  300000	      5156 ns/op	 794.36 MB/s	       8 B/op	       1 allocs/op
BenchmarkFNV1/8192-40                	  200000	     10220 ns/op	 801.49 MB/s	       8 B/op	       1 allocs/op
BenchmarkT1ha/1-40                   	50000000	        23.4 ns/op	  42.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/2-40                   	50000000	        23.7 ns/op	  84.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/4-40                   	50000000	        22.9 ns/op	 174.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/8-40                   	50000000	        24.0 ns/op	 333.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/32-40                  	30000000	        42.9 ns/op	 745.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/64-40                  	50000000	        26.2 ns/op	2447.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/128-40                 	30000000	        39.0 ns/op	3280.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/256-40                 	20000000	        61.8 ns/op	4140.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/512-40                 	20000000	       101 ns/op	5034.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/1024-40                	10000000	       191 ns/op	5342.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/4096-40                	 2000000	       713 ns/op	5740.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkT1ha/8192-40                	 1000000	      1472 ns/op	5563.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/1-40               	100000000	        16.8 ns/op	  59.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/2-40               	100000000	        17.4 ns/op	 115.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/4-40               	100000000	        16.9 ns/op	 236.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/8-40               	100000000	        18.0 ns/op	 444.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/32-40              	50000000	        31.8 ns/op	1007.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/64-40              	30000000	        45.1 ns/op	1419.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/128-40             	20000000	        75.7 ns/op	1690.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/256-40             	10000000	       134 ns/op	1904.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/512-40             	 5000000	       276 ns/op	1852.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/1024-40            	 3000000	       473 ns/op	2161.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/4096-40            	 1000000	      1896 ns/op	2160.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkZaphod64/8192-40            	  300000	      3672 ns/op	2230.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/1-40                 	100000000	        12.1 ns/op	  82.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/2-40                 	100000000	        12.0 ns/op	 167.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/4-40                 	100000000	        11.6 ns/op	 344.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/8-40                 	100000000	        13.1 ns/op	 612.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/32-40                	100000000	        17.6 ns/op	1818.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/64-40                	100000000	        20.7 ns/op	3097.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/128-40               	50000000	        27.9 ns/op	4582.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/256-40               	30000000	        37.8 ns/op	6775.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/512-40               	20000000	        74.8 ns/op	6848.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/1024-40              	20000000	       110 ns/op	9274.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/4096-40              	 5000000	       378 ns/op	10818.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkStadtx/8192-40              	 2000000	       717 ns/op	11417.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/1-40                   	100000000	        11.8 ns/op	  85.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/2-40                   	100000000	        11.9 ns/op	 168.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkTsip/4-40                   	100000000	        13.1 ns/op	 304.20 MB/s	       0 B/op	       0 allocs/op
